Pair,Video,True_ISC,Null_Mean,Null_Std,p_value,Significant_05
pair4_together_A_4,5,0.04449018,-0.001293364497811126,0.021250519557562533,0.000999000999000999,True
pair4_together_A_4,3,3.2873995e-05,0.0060357149668852795,0.01942252404904672,0.6403596403596403,False
pair4_together_A_4,10,0.020393416,0.005527825039374875,0.01901714156285174,0.24975024975024976,False
pair4_together_A_4,7,0.030528571,0.008462431429361459,0.025428699228014155,0.16083916083916083,False
pair4_together_A_4,4,0.024145292,8.290234254673124e-06,0.02037855499606138,0.0919080919080919,False
pair4_together_A_4,9,0.05662153,0.04061879242194118,0.023293186976517503,0.3076923076923077,False
pair4_together_A_4,6,0.029168313,0.03628125639585778,0.020454861555676065,0.5634365634365635,False
pair4_together_A_4,8,0.024016442,0.013950882285265835,0.015450750803502803,0.25774225774225773,False
pair16_together_B_6,6,0.015425723,-0.0007147158027510158,0.023591413291930225,0.23376623376623376,False
pair16_together_B_6,4,-0.006245278,0.005777021362446249,0.02206187354360714,0.6823176823176823,False
pair16_together_B_6,10,-0.023297198,0.0034945872075622902,0.02429230730059478,0.8291708291708292,False
pair16_together_B_6,9,0.0052340464,0.002376486336346716,0.028119139322756826,0.4255744255744256,False
pair16_together_B_6,5,-0.008458916,0.0005320622934959829,0.022228840760094137,0.5964035964035964,False
pair16_together_B_6,8,0.029272111,0.001532723769545555,0.023844013661457105,0.14485514485514486,False
pair16_together_B_6,3,0.014394227,0.0037732656525622586,0.02494141886636434,0.31868131868131866,False
pair16_together_B_6,7,-0.006314606,0.002163386164938856,0.014196094496990995,0.6613386613386614,False
pair8_together_A_8,6,-0.020295018,0.011916458117659203,0.027964333468196396,0.8391608391608392,False
pair8_together_A_8,9,0.03507985,0.0034323806761358353,0.02231328312479223,0.13886113886113885,False
pair8_together_A_8,5,-0.0021757905,0.005828542906208895,0.030170662261978932,0.6533466533466533,False
pair8_together_A_8,10,0.04406479,0.00796357851906214,0.024079218294400184,0.1008991008991009,False
pair8_together_A_8,8,0.06760489,-0.004720938972197473,0.02309071565051044,0.000999000999000999,True
pair8_together_A_8,3,-0.0014550253,0.004779734633630141,0.02467101212373144,0.6273726273726273,False
pair8_together_A_8,4,0.015315945,0.003104441589151975,0.01933558913406195,0.2827172827172827,False
pair8_together_A_8,7,-0.015229622,0.0024272490874282086,0.02499229015992207,0.7682317682317682,False
pair19_together_B_9,6,0.0050882,0.0015076824817806481,0.01801132602991687,0.4035964035964036,False
pair19_together_B_9,4,0.03161774,0.004661193422507494,0.020287018193746086,0.015984015984015984,True
pair19_together_B_9,5,-0.029161302,0.0026572215093729028,0.023332729043509005,0.9430569430569431,False
pair19_together_B_9,3,0.014743847,0.005587426335376222,0.01801931075103132,0.35564435564435565,False
pair19_together_B_9,9,0.0491112,0.0007935038007562981,0.027775775218971187,0.000999000999000999,True
pair19_together_B_9,7,0.014545882,0.004292139876750298,0.028366966077031482,0.33166833166833165,False
pair19_together_B_9,10,0.03732663,0.01303123702564335,0.021542972793518668,0.14385614385614387,False
pair19_together_B_9,8,0.037071303,-0.005275194627436576,0.02434296888978921,0.04195804195804196,True
pair9_together_A_9,6,-0.024346834,0.007981022837397177,0.022661980575762332,0.962037962037962,False
pair9_together_A_9,4,-0.029033147,0.007366533815349612,0.023234448249636667,0.9330669330669331,False
pair9_together_A_9,9,-0.001469216,-0.004296117381425575,0.019718875234769832,0.44555444555444557,False
pair9_together_A_9,10,0.031886283,0.006577913946821354,0.01662744550941249,0.060939060939060936,False
pair9_together_A_9,5,-0.02675795,0.0014876325293444097,0.021341094318233923,0.9200799200799201,False
pair9_together_A_9,7,0.012221875,-0.0020668738211970777,0.02196772442686296,0.19480519480519481,False
pair9_together_A_9,3,0.02383567,-0.0014041612840956076,0.019905378894599434,0.054945054945054944,False
pair9_together_A_9,8,0.023057543,-0.0036478060284425738,0.021280069316786075,0.08191808191808192,False
pair12_together_B_2,7,0.034793846,-0.0035875481859548018,0.01929360479900667,0.023976023976023976,True
pair12_together_B_2,5,-0.00296347,0.0034965606488985943,0.01962731180122797,0.5544455544455544,False
pair12_together_B_2,10,0.04548303,-0.0035374093734426423,0.020234631274974123,0.01898101898101898,True
pair12_together_B_2,3,0.021898953,-0.008449704326863866,0.02438704836674929,0.13586413586413587,False
pair12_together_B_2,9,0.007529448,0.001158035213353287,0.016962960247888438,0.2807192807192807,False
pair12_together_B_2,6,0.044339057,0.0089658095788036,0.014662519524117346,0.016983016983016984,True
pair12_together_B_2,8,0.045497067,-0.006793151274090633,0.022494400863079564,0.000999000999000999,True
pair12_together_B_2,4,0.0245137,0.0010486758245679085,0.016432832403802857,0.07192807192807193,False
pair7_together_A_7,4,0.022490619,-0.0021115276769269257,0.01961351490655485,0.13286713286713286,False
pair7_together_A_7,5,0.02263362,-0.0038165481303003615,0.020174423879547536,0.0919080919080919,False
pair7_together_A_7,7,0.010282157,0.002142242060159333,0.017233250744815878,0.23276723276723277,False
pair7_together_A_7,9,0.005713401,0.0063558789152302776,0.024689975230405958,0.4255744255744256,False
pair7_together_A_7,6,0.012134238,0.00023560913219262147,0.01796452958843448,0.2517482517482518,False
pair7_together_A_7,10,-0.00997798,0.0029160387405136132,0.014770679456754712,0.8251748251748252,False
pair7_together_A_7,3,-0.0027499788,-0.0013650644065928644,0.01747868472583362,0.45354645354645357,False
